#CSGO_crate_musickit_masterminds2_capsule
#CSGO_crate_musickit_masterminds2_stattrak_capsule
Special Agent Ava | FBI
Souvenir AK-47 | Black Laminate (Minimal Wear)
Souvenir AK-47 | Black Laminate (Well-Worn)
Souvenir AK-47 | Black Laminate (Battle-Scarred)
Souvenir AK-47 | Black Laminate (Field-Tested)
Souvenir AK-47 | Panthera onca (Minimal Wear)
Souvenir AK-47 | Panthera onca (Well-Worn)
Souvenir AK-47 | Panthera onca (Battle-Scarred)
Souvenir AK-47 | Panthera onca (Field-Tested)
Souvenir AK-47 | Panthera onca (Factory New)
Souvenir AK-47 | Safety Net (Minimal Wear)
Souvenir AK-47 | Safety Net (Well-Worn)
Souvenir AK-47 | Safety Net (Battle-Scarred)
Souvenir AK-47 | Safety Net (Field-Tested)
Souvenir AK-47 | Safety Net (Factory New)
Souvenir AK-47 | Safari Mesh (Minimal Wear)
Souvenir AK-47 | Safari Mesh (Well-Worn)
Souvenir AK-47 | Safari Mesh (Battle-Scarred)
Souvenir AK-47 | Safari Mesh (Field-Tested)
Souvenir AK-47 | Safari Mesh (Factory New)
Souvenir AK-47 | Steel Delta (Minimal Wear)
Souvenir AK-47 | Steel Delta (Well-Worn)
Souvenir AK-47 | Steel Delta (Battle-Scarred)
Souvenir AK-47 | Steel Delta (Field-Tested)
Souvenir AK-47 | Steel Delta (Factory New)
Souvenir AK-47 | Green Laminate (Minimal Wear)
Souvenir AK-47 | Green Laminate (Well-Worn)
Souvenir AK-47 | Green Laminate (Field-Tested)
